optimizer_name,benchmark_suite,f_id,i_id,precision
CMA,bbob,1,1,1.6757248033627548e-08
CMA,bbob,1,2,1.6898468402359867e-08
CMA,bbob,1,3,1.9869929701599176e-08
CMA,bbob,1,4,1.943976712937001e-08
CMA,bbob,1,5,2.301760737566383e-08
CMA,bbob,2,1,1.784621872502612e-08
CMA,bbob,2,2,2.4047004387739435e-08
CMA,bbob,2,3,1.6752309761614015e-08
CMA,bbob,2,4,1.745522126839205e-08
CMA,bbob,2,5,1.9407480067457072e-08
CMA,bbob,3,1,13.431937204122818
CMA,bbob,3,2,15.919329810023044
CMA,bbob,3,3,16.41680176228985
CMA,bbob,3,4,14.924365708247871
CMA,bbob,3,5,15.421840191175264
CMA,bbob,4,1,19.899120517751726
CMA,bbob,4,2,20.396622844569357
CMA,bbob,4,3,19.89914333860966
CMA,bbob,4,4,20.396630432756222
CMA,bbob,4,5,17.411758294947077
CMA,bbob,5,1,29.577139180741717
CMA,bbob,5,2,23.73930341027085
CMA,bbob,5,3,23.17206959272105
CMA,bbob,5,4,29.16796718631582
CMA,bbob,5,5,19.81260159832948
CMA,bbob,6,1,1.663592641421019e-08
CMA,bbob,6,2,1.5723570001568987e-08
CMA,bbob,6,3,1.6142507774929982e-08
CMA,bbob,6,4,1.8493963693799742e-08
CMA,bbob,6,5,1.5423836430272786e-08
CMA,bbob,7,1,2.35015457110638
CMA,bbob,7,2,1.7685089535581753
CMA,bbob,7,3,1.9651860257336415
CMA,bbob,7,4,0.9006600795433393
CMA,bbob,7,5,0.8932855893679914
CMA,bbob,8,1,1.8567888560028223e-08
CMA,bbob,8,2,1.937854676725692e-08
CMA,bbob,8,3,2.01649754671962e-08
CMA,bbob,8,4,2.15922781876543e-08
CMA,bbob,8,5,2.229068130077394e-08
CMA,bbob,9,1,2.4994101011088787e-08
CMA,bbob,9,2,2.30272902967954e-08
CMA,bbob,9,3,1.8111787625230136e-08
CMA,bbob,9,4,2.4560698363984557e-08
CMA,bbob,9,5,2.4441320078949502e-08
CMA,bbob,10,1,2.210059335538972e-08
CMA,bbob,10,2,1.8420561076482045e-08
CMA,bbob,10,3,2.0482104901020648e-08
CMA,bbob,10,4,2.337850446565426e-08
CMA,bbob,10,5,2.197435833295458e-08
CMA,bbob,11,1,1.8791240563587053e-08
CMA,bbob,11,2,1.9804863526928784e-08
CMA,bbob,11,3,2.050934533315285e-08
CMA,bbob,11,4,2.1767391444882378e-08
CMA,bbob,11,5,2.3510118296599103e-08
CMA,bbob,12,1,1.660032467043493e-08
CMA,bbob,12,2,1.5064244962559314e-08
CMA,bbob,12,3,1.5938606878762585e-08
CMA,bbob,12,4,1.509274838440433e-08
CMA,bbob,12,5,1.632333024303989e-08
CMA,bbob,13,1,1.683768502402927e-08
CMA,bbob,13,2,2.0280580770304368e-08
CMA,bbob,13,3,1.673188876338827e-08
CMA,bbob,13,4,1.531998350401409e-08
CMA,bbob,13,5,1.6730041352275293e-08
CMA,bbob,14,1,1.6704721161886482e-08
CMA,bbob,14,2,1.8778649746309384e-08
CMA,bbob,14,3,1.702957774796232e-08
CMA,bbob,14,4,1.733767263090158e-08
CMA,bbob,14,5,1.615234879182026e-08
CMA,bbob,15,1,16.914288865981803
CMA,bbob,15,2,10.944544606818894
CMA,bbob,15,3,11.442008992686706
CMA,bbob,15,4,13.431924580174062
CMA,bbob,15,5,10.944544605647692
CMA,bbob,16,1,0.2957817999855692
CMA,bbob,16,2,0.15813243066708083
CMA,bbob,16,3,0.12906317615171758
CMA,bbob,16,4,0.1498121003637607
CMA,bbob,16,5,0.1505949198237424
CMA,bbob,17,1,0.012553349973721595
CMA,bbob,17,2,0.009208964036249156
CMA,bbob,17,3,0.009379806939904256
CMA,bbob,17,4,0.008707597860677652
CMA,bbob,17,5,0.052236655461470605
CMA,bbob,18,1,0.09312498361329524
CMA,bbob,18,2,0.06121768865423327
CMA,bbob,18,3,0.06589680822838773
CMA,bbob,18,4,0.10648787296821993
CMA,bbob,18,5,0.2538251604071178
CMA,bbob,19,1,0.619814175273234
CMA,bbob,19,2,0.5335445208308158
CMA,bbob,19,3,0.6197490760060731
CMA,bbob,19,4,0.5141720711079003
CMA,bbob,19,5,0.49638601880207034
CMA,bbob,20,1,1.7865297408342826
CMA,bbob,20,2,1.8951460430492943
CMA,bbob,20,3,1.7273564988571763
CMA,bbob,20,4,1.8852817584709527
CMA,bbob,20,5,1.8063113116244396
CMA,bbob,21,1,2.255804635394849
CMA,bbob,21,2,3.6378353716080607
CMA,bbob,21,3,3.890133370987314e-08
CMA,bbob,21,4,1.3456209074006527
CMA,bbob,21,5,6.658550574233971
CMA,bbob,22,1,1.9549988644313316
CMA,bbob,22,2,18.182151771981296
CMA,bbob,22,3,1.9549988678588548
CMA,bbob,22,4,3.5088681712229857
CMA,bbob,22,5,5.062737465518424
CMA,bbob,23,1,0.22781725761251614
CMA,bbob,23,2,0.2510225317046805
CMA,bbob,23,3,0.2699442402091279
CMA,bbob,23,4,0.3090913619295179
CMA,bbob,23,5,0.4366631897303854
CMA,bbob,24,1,18.772626329883558
CMA,bbob,24,2,17.664669482237784
CMA,bbob,24,3,19.494904834253735
CMA,bbob,24,4,16.64427381827153
CMA,bbob,24,5,18.286843043649938
CMA,cec2013,1,1,9.658606359153055e-09
CMA,cec2013,2,1,1.1352767614880577e-08
CMA,cec2013,3,1,1.313139819103526e-08
CMA,cec2013,4,1,1.0894495972024743e-08
CMA,cec2013,5,1,1.4372801615536446e-08
CMA,cec2013,6,1,1.5672128483856795e-08
CMA,cec2013,7,1,7.041351854210859
CMA,cec2013,8,1,20.364322438347926
CMA,cec2013,9,1,9.485163940653479
CMA,cec2013,10,1,0.007396040334185727
CMA,cec2013,11,1,218.88534413066617
CMA,cec2013,12,1,173.11879808139042
CMA,cec2013,13,1,216.78872546257998
CMA,cec2013,14,1,1554.767357257649
CMA,cec2013,15,1,1214.8168925247144
CMA,cec2013,16,1,0.06088274473283661
CMA,cec2013,17,1,130.77369397151284
CMA,cec2013,18,1,83.3611447317304
CMA,cec2013,19,1,1.0262619848245436
CMA,cec2013,20,1,4.139057462185633
CMA,cec2013,21,1,400.1938672186129
CMA,cec2013,22,1,2825.36657744851
CMA,cec2013,23,1,2102.830337907007
CMA,cec2013,24,1,301.67847020036686
CMA,cec2013,25,1,278.4248036733901
CMA,cec2013,26,1,400.0995676204909
CMA,cec2013,27,1,400.00000000000205
CMA,cec2013,28,1,1158.7435346525958
CMA,cec2014,1,1,1.199597932100005e-08
CMA,cec2014,2,1,1.3012794397582184e-08
CMA,cec2014,3,1,1.141492589340487e-08
CMA,cec2014,4,1,1.744874111864192e-08
CMA,cec2014,5,1,19.999953838010015
CMA,cec2014,6,1,7.5151399027796515
CMA,cec2014,7,1,0.009857284607903694
CMA,cec2014,8,1,54.72252592968948
CMA,cec2014,9,1,50.74266932170485
CMA,cec2014,10,1,1388.1562234592184
CMA,cec2014,11,1,1708.409581122535
CMA,cec2014,12,1,0.0937864718300716
CMA,cec2014,13,1,0.10947415592045218
CMA,cec2014,14,1,0.44068381689828584
CMA,cec2014,15,1,1.1011250348154817
CMA,cec2014,16,1,4.376396195091047
CMA,cec2014,17,1,567.6686798821061
CMA,cec2014,18,1,28.948452778948877
CMA,cec2014,19,1,2.9991303200830544
CMA,cec2014,20,1,16.226408546779794
CMA,cec2014,21,1,75.32029810851577
CMA,cec2014,22,1,193.2559382947993
CMA,cec2014,23,1,200.00000000000045
CMA,cec2014,24,1,200.0000000000009
CMA,cec2014,25,1,200.00000000000045
CMA,cec2014,26,1,200.00000000000045
CMA,cec2014,27,1,200.00000000000045
CMA,cec2014,28,1,200.00000000000045
CMA,cec2014,29,1,200.00000000000045
CMA,cec2014,30,1,200.00000000237242
CMA,cec2015,1,1,1.2773838875546062e-08
CMA,cec2015,2,1,1.2410481531333062e-08
CMA,cec2015,3,1,19.999991319798625
CMA,cec2015,4,1,63.67704098070561
CMA,cec2015,5,1,1332.649535814233
CMA,cec2015,6,1,581.2014122654314
CMA,cec2015,7,1,3.0846238548858196
CMA,cec2015,8,1,243.95778606993906
CMA,cec2015,9,1,1125.7345282222989
CMA,cec2015,10,1,276.6950491802454
CMA,cec2015,11,1,300.0901709817838
CMA,cec2015,12,1,101.90863763879383
CMA,cec2015,13,1,44.83051379969436
CMA,cec2015,14,1,100.00000000003399
CMA,cec2015,15,1,100.0000000000025
CMA,cec2017,1,1,1.1111033870747633e-08
CMA,cec2017,2,1,1.4487753219327715e-08
CMA,cec2017,3,1,1.106039348997001e-08
CMA,cec2017,4,1,1.0894524393734173e-08
CMA,cec2017,5,1,132.32765980307443
CMA,cec2017,6,1,59.096606587514884
CMA,cec2017,7,1,112.25784116148941
CMA,cec2017,8,1,34.82348630228364
CMA,cec2017,9,1,860.3507511985737
CMA,cec2017,10,1,2060.003604829766
CMA,cec2017,11,1,28.356138165162406
CMA,cec2017,12,1,514.7081007784321
CMA,cec2017,13,1,165.2498499923829
CMA,cec2017,14,1,47.85867061556371
CMA,cec2017,15,1,41.00486220855464
CMA,cec2017,16,1,664.0525062330428
CMA,cec2017,17,1,58.261551826233244
CMA,cec2017,18,1,64.02828003013747
CMA,cec2017,19,1,18.118662932825032
CMA,cec2017,20,1,443.1746815317906
CMA,cec2017,21,1,217.19360251806916
CMA,cec2017,22,1,100.28960538682077
CMA,cec2017,23,1,937.3309640007233
CMA,cec2017,24,1,100.000000000005
CMA,cec2017,25,1,443.4675918453024
CMA,cec2017,26,1,1982.8485717280855
CMA,cec2017,27,1,402.53205598047794
CMA,cec2017,28,1,300.0000000000032
CMA,cec2017,29,1,296.5017167308565
DE,bbob,1,1,0.05714724051566833
DE,bbob,1,2,0.03070117382540616
DE,bbob,1,3,0.004116610591808012
DE,bbob,1,4,0.03164629490999005
DE,bbob,1,5,0.015365750971557901
DE,bbob,2,1,0.1353039818474855
DE,bbob,2,2,0.056441063848559736
DE,bbob,2,3,0.0413647945394473
DE,bbob,2,4,0.19743727153488067
DE,bbob,2,5,0.10444890744330593
DE,bbob,3,1,8.608402932341505
DE,bbob,3,2,6.570337865566678
DE,bbob,3,3,7.387147469561988
DE,bbob,3,4,6.746221063528151
DE,bbob,3,5,6.33036394818977
DE,bbob,4,1,9.407984275349662
DE,bbob,4,2,9.55105002263722
DE,bbob,4,3,10.33127276968014
DE,bbob,4,4,8.018751487519403
DE,bbob,4,5,8.364157962618108
DE,bbob,5,1,0.6752792582231919
DE,bbob,5,2,0.6473070536106889
DE,bbob,5,3,0.8001306379199491
DE,bbob,5,4,0.980454323361073
DE,bbob,5,5,1.4805972006281536
DE,bbob,6,1,6.948817668407411
DE,bbob,6,2,7.069562432080996
DE,bbob,6,3,6.023880757163624
DE,bbob,6,4,6.388095646623967
DE,bbob,6,5,7.039488290472491
DE,bbob,7,1,1.9265947107677022
DE,bbob,7,2,1.7568522941148181
DE,bbob,7,3,1.4379283195806871
DE,bbob,7,4,0.9538102998940907
DE,bbob,7,5,0.761521077894372
DE,bbob,8,1,8.283806734252977
DE,bbob,8,2,7.412190593598098
DE,bbob,8,3,7.3140162954451355
DE,bbob,8,4,8.003612701618312
DE,bbob,8,5,7.380834111332952
DE,bbob,9,1,8.40064100379233
DE,bbob,9,2,8.26733317023696
DE,bbob,9,3,8.242157730979986
DE,bbob,9,4,8.095402688107363
DE,bbob,9,5,8.162501444877712
DE,bbob,10,1,154.86162315836776
DE,bbob,10,2,118.39055159851992
DE,bbob,10,3,126.24109924565957
DE,bbob,10,4,129.8227845846689
DE,bbob,10,5,166.33782017587876
DE,bbob,11,1,14.001837654235892
DE,bbob,11,2,16.265000673759367
DE,bbob,11,3,10.998996694482864
DE,bbob,11,4,17.578511119074562
DE,bbob,11,5,14.318841594425535
DE,bbob,12,1,1.5553748124617641
DE,bbob,12,2,0.891661974190157
DE,bbob,12,3,1.5749170179582492
DE,bbob,12,4,1.549137761844495
DE,bbob,12,5,6.960212110180471
DE,bbob,13,1,6.041612332173241
DE,bbob,13,2,6.768854261881554
DE,bbob,13,3,5.9620148484042375
DE,bbob,13,4,6.518600644474816
DE,bbob,13,5,8.514637997574212
DE,bbob,14,1,0.021642063648336318
DE,bbob,14,2,0.048677493769176294
DE,bbob,14,3,0.0442749618335867
DE,bbob,14,4,0.03265475429309461
DE,bbob,14,5,0.03076777586599988
DE,bbob,15,1,25.827908512368595
DE,bbob,15,2,23.68394962759492
DE,bbob,15,3,22.396400420354702
DE,bbob,15,4,26.134061457130283
DE,bbob,15,5,27.389678318279266
DE,bbob,16,1,6.61643573293059
DE,bbob,16,2,7.2340124767090686
DE,bbob,16,3,6.170146509907177
DE,bbob,16,4,6.456447193145721
DE,bbob,16,5,6.511846871921232
DE,bbob,17,1,0.41037295190290024
DE,bbob,17,2,0.3243121446745363
DE,bbob,17,3,0.23101293785762778
DE,bbob,17,4,0.31015971230378625
DE,bbob,17,5,0.28187118985889015
DE,bbob,18,1,1.031064814936098
DE,bbob,18,2,1.06453184502762
DE,bbob,18,3,1.2233697175561815
DE,bbob,18,4,1.3667408470805107
DE,bbob,18,5,1.6544661395685267
DE,bbob,19,1,2.476893901751154
DE,bbob,19,2,2.5647463064690115
DE,bbob,19,3,2.4688707399570404
DE,bbob,19,4,2.499634789031944
DE,bbob,19,5,2.3386498560361133
DE,bbob,20,1,0.5980528689797779
DE,bbob,20,2,0.5736240441927976
DE,bbob,20,3,0.500722411639174
DE,bbob,20,4,0.5397513716680038
DE,bbob,20,5,0.604941150396288
DE,bbob,21,1,1.9405715654854703
DE,bbob,21,2,1.6171382252274475
DE,bbob,21,3,0.5048572136147413
DE,bbob,21,4,1.3846449594000863
DE,bbob,21,5,1.851154590272074
DE,bbob,22,1,1.9721112320160046
DE,bbob,22,2,1.985162843823673
DE,bbob,22,3,2.7991820580557523
DE,bbob,22,4,1.9786478645040688
DE,bbob,22,5,5.668383366625587
DE,bbob,23,1,1.4666926632544675
DE,bbob,23,2,1.4379880431098218
DE,bbob,23,3,1.4706193415656514
DE,bbob,23,4,1.4444125152959089
DE,bbob,23,5,1.4716825324520642
DE,bbob,24,1,44.27506509649896
DE,bbob,24,2,44.41282397604823
DE,bbob,24,3,42.92224358815133
DE,bbob,24,4,42.57879996451666
DE,bbob,24,5,40.41453164809646
DE,cec2013,1,1,0.15379351164642685
DE,cec2013,2,1,27107.46110762171
DE,cec2013,3,1,17.42337418119257
DE,cec2013,4,1,593.6454873346115
DE,cec2013,5,1,0.7847720772410298
DE,cec2013,6,1,9.906109787876687
DE,cec2013,7,1,10.328165519725758
DE,cec2013,8,1,20.350537591255886
DE,cec2013,9,1,4.4650422786904755
DE,cec2013,10,1,2.0414010137089633
DE,cec2013,11,1,7.487082744198091
DE,cec2013,12,1,22.339870726551084
DE,cec2013,13,1,20.9797446019806
DE,cec2013,14,1,38.598440925724844
DE,cec2013,15,1,1304.7441790302814
DE,cec2013,16,1,1.1642041053612644
DE,cec2013,17,1,17.949171462029568
DE,cec2013,18,1,36.68958163155878
DE,cec2013,19,1,1.285215136648219
DE,cec2013,20,1,3.1549112491971982
DE,cec2013,21,1,400.2189864787549
